1.22	1.45443504	104.3977314	-416.5455655	0
1.23	1.45443504	104.3977314	-416.5583222	1
1.24	1.45443504	104.3977314	-416.5701697	2
1.25	1.45443504	104.3977314	-416.5811563	3
1.26	1.45443504	104.3977314	-416.5913281	4
1.27	1.45443504	104.3977314	-416.6007286	5
1.28	1.45443504	104.3977314	-416.6093991	6
1.29	1.45443504	104.3977314	-416.6173789	7
1.3	1.45443504	104.3977314	-416.6247053	8
1.31	1.45443504	104.3977314	-416.6314136	9
1.32	1.45443504	104.3977314	-416.6375374	10
1.33	1.45443504	104.3977314	-416.6431087	11
1.34	1.45443504	104.3977314	-416.6481576	12
1.35	1.45443504	104.3977314	-416.652713	13
1.36	1.45443504	104.3977314	-416.656802	14
1.37	1.45443504	104.3977314	-416.6604507	15
1.38	1.45443504	104.3977314	-416.6636836	16
1.39	1.45443504	104.3977314	-416.6665241	17
1.4	1.45443504	104.3977314	-416.6689944	18
1.41	1.45443504	104.3977314	-416.6711155	19
1.42	1.45443504	104.3977314	-416.6729074	20
1.43	1.45443504	104.3977314	-416.6743891	21
1.44	1.45443504	104.3977314	-416.6755788	22
1.45	1.45443504	104.3977314	-416.6764934	23
1.46	1.45443504	104.3977314	-416.6771492	24
1.47	1.45443504	104.3977314	-416.6775618	25
1.48	1.45443504	104.3977314	-416.6777456	26
1.49	1.45443504	104.3977314	-416.6777148	27
1.5	1.45443504	104.3977314	-416.6774824	28
1.51	1.45443504	104.3977314	-416.677061	29
1.52	1.45443504	104.3977314	-416.6764625	30
1.53	1.45443504	104.3977314	-416.6756983	31
1.54	1.45443504	104.3977314	-416.674779	32
1.55	1.45443504	104.3977314	-416.6737148	33
1.56	1.45443504	104.3977314	-416.6725154	34
1.57	1.45443504	104.3977314	-416.6711899	35
1.58	1.45443504	104.3977314	-416.6697472	36
1.59	1.45443504	104.3977314	-416.6681953	37
1.6	1.45443504	104.3977314	-416.6665422	38
1.61	1.45443504	104.3977314	-416.6647952	39
1.62	1.45443504	104.3977314	-416.6629615	40
1.63	1.45443504	104.3977314	-416.6610478	41
1.64	1.45443504	104.3977314	-416.6590603	42
1.65	1.45443504	104.3977314	-416.6570052	43
1.66	1.45443504	104.3977314	-416.6548881	44
1.67	1.45443504	104.3977314	-416.6527145	45
1.68	1.45443504	104.3977314	-416.6504896	46
1.69	1.45443504	104.3977314	-416.6482182	47
1.7	1.45443504	104.3977314	-416.6459051	48
1.71	1.45443504	104.3977314	-416.6435545	49
1.72	1.45443504	104.3977314	-416.6411708	50
1.73	1.45443504	104.3977314	-416.638758	51
1.74	1.45443504	104.3977314	-416.6363199	52
1.75	1.45443504	104.3977314	-416.6338601	53
1.76	1.45443504	104.3977314	-416.6313822	54
1.77	1.45443504	104.3977314	-416.6288894	55
1.78	1.45443504	104.3977314	-416.626385	56
1.79	1.45443504	104.3977314	-416.6238722	57
1.8	1.45443504	104.3977314	-416.6213538	58
1.81	1.45443504	104.3977314	-416.6188329	59
1.82	1.45443504	104.3977314	-416.6163123	60
1.83	1.45443504	104.3977314	-416.6137949	61
1.84	1.45443504	104.3977314	-416.6112836	62
1.85	1.45443504	104.3977314	-416.6087812	63
1.86	1.45443504	104.3977314	-416.6062907	64
1.87	1.45443504	104.3977314	-416.6038154	65
1.88	1.45443504	104.3977314	-416.6013585	66
1.89	1.45443504	104.3977314	-416.5989237	67
1.9	1.45443504	104.3977314	-416.5965152	68
1.91	1.45443504	104.3977314	-416.5941375	69
1.92	1.45443504	104.3977314	-416.5917962	70
1.93	1.45443504	104.3977314	-416.5894976	71
1.94	1.45443504	104.3977314	-416.5872493	72
1.48332676	1	104.3977314	-416.5258389	179
1.48332676	1.01	104.3977314	-416.535549	180
1.48332676	1.02	104.3977314	-416.5447566	181
1.48332676	1.03	104.3977314	-416.5534846	182
1.48332676	1.04	104.3977314	-416.5617544	183
1.48332676	1.05	104.3977314	-416.569587	184
1.48332676	1.06	104.3977314	-416.5770019	185
1.48332676	1.07	104.3977314	-416.584018	186
1.48332676	1.08	104.3977314	-416.5906533	187
1.48332676	1.09	104.3977314	-416.596925	188
1.48332676	1.1	104.3977314	-416.6028493	189
1.48332676	1.11	104.3977314	-416.6084421	190
1.48332676	1.12	104.3977314	-416.6137181	191
1.48332676	1.13	104.3977314	-416.6186917	192
1.48332676	1.14	104.3977314	-416.6233765	193
1.48332676	1.15	104.3977314	-416.6277855	194
1.48332676	1.16	104.3977314	-416.6319311	195
1.48332676	1.17	104.3977314	-416.6358251	196
1.48332676	1.18	104.3977314	-416.639479	197
1.48332676	1.19	104.3977314	-416.6429035	198
1.48332676	1.2	104.3977314	-416.6461091	199
1.48332676	1.21	104.3977314	-416.6491056	200
1.48332676	1.22	104.3977314	-416.6519024	201
1.48332676	1.23	104.3977314	-416.6545088	202
1.48332676	1.24	104.3977314	-416.6569332	203
1.48332676	1.25	104.3977314	-416.6591839	204
1.48332676	1.26	104.3977314	-416.6612689	205
1.48332676	1.27	104.3977314	-416.6631958	206
1.48332676	1.28	104.3977314	-416.6649717	207
1.48332676	1.29	104.3977314	-416.6666037	208
1.48332676	1.3	104.3977314	-416.6680982	209
1.48332676	1.31	104.3977314	-416.6694617	210
1.48332676	1.32	104.3977314	-416.6707002	211
1.48332676	1.33	104.3977314	-416.6718194	212
1.48332676	1.34	104.3977314	-416.6728251	213
1.48332676	1.35	104.3977314	-416.6737223	214
1.48332676	1.36	104.3977314	-416.6745164	215
1.48332676	1.37	104.3977314	-416.675212	216
